"Name","Address","City","Zip","lat","lon","Cuisines","Rating","Votes","Price","url"
"D's Six Pax & Dogz","1118 S Braddock Ave,Pittsburgh, PA 15218","Pittsburgh","15218","40.432083","-79.893639","Pubs, American (Traditional)","4.5","326","$$","https://www.yelp.com/biz/ds-six-pax-and-dogz-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Muddy Waters Oyster Bar","130 S Highland Ave,Pittsburgh, PA 15206","Pittsburgh","15206","40.4602070145253","-79.925226","Cocktail Bars, Cajun/Creole, Seafood","4.5","294","$$","https://www.yelp.com/biz/muddy-waters-oyster-bar-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Istanbul Sofra","7600 Forbes Ave,Pittsburgh, PA 15221","Pittsburgh","15221","40.4395831125655","-79.8974592089652","Turkish, Mediterranean, Middle Eastern","4.5","307","$$","https://www.yelp.com/biz/istanbul-sofra-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"DiAnoia's Eatery","2549 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.455","-79.97874","Italian","4.5","266","$$","https://www.yelp.com/biz/dianoias-eatery-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Penn Ave Fish Company","2208 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.4523086547852","-79.981819152832","Sushi Bars, Seafood, Seafood Markets","4.0","260","$$","https://www.yelp.com/biz/penn-ave-fish-company-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Burgatory","932 Freeport Rd,Pittsburgh, PA 15238","Pittsburgh","15238","40.489444","-79.892937","Burgers, Fast Food, Cocktail Bars","4.0","435","$$","https://www.yelp.com/biz/burgatory-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Las Palmas","326 Atwood St,Pittsburgh, PA 15213","Pittsburgh","15213","40.4389190673828","-79.9553070068359","Mexican","4.5","184","$","https://www.yelp.com/biz/las-palmas-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Apteka","4606 Penn Ave,Pittsburgh, PA 15224","Pittsburgh","15224","40.4656499","-79.94933","Vegan, Bars, Modern European","4.5","174","$$","https://www.yelp.com/biz/apteka-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Square Cafe","1137 S Braddock Ave,Pittsburgh, PA 15218","Pittsburgh","15218","40.432113757304","-79.893269196457","Breakfast & Brunch, Vegetarian, Cafes","4.0","400","$$","https://www.yelp.com/biz/square-cafe-pittsburgh-4?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Doce Taqueria","1220 E Carson St,Pittsburgh, PA 15203","Pittsburgh","15203","40.42859","-79.9855199","Mexican, Food Trucks","4.5","191","$","https://www.yelp.com/biz/doce-taqueria-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Casbah","229 S Highland Ave,Pittsburgh, PA 15206","Pittsburgh","15206","40.45814","-79.9248","Greek, Mediterranean, Cocktail Bars","4.0","347","$$$","https://www.yelp.com/biz/casbah-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"The Pub Chip Shop","1830 E Carson St,Pittsburgh, PA 15203","Pittsburgh","15203","40.42843","-79.97939","British, Fish & Chips, Breakfast & Brunch","4.5","205","$","https://www.yelp.com/biz/the-pub-chip-shop-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Spice Island Tea House","253 Atwood St,Pittsburgh, PA 15213","Pittsburgh","15213","40.44003","-79.95601","Asian Fusion, Tea Rooms, Thai","4.0","294","$$","https://www.yelp.com/biz/spice-island-tea-house-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Piccolo Forno","3801 Butler St,Pittsburgh, PA 15201","Pittsburgh","15201","40.46709","-79.96444","Italian, Pizza","4.0","348","$$","https://www.yelp.com/biz/piccolo-forno-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Mount Everest Sushi","128 Oakland Ave,Pittsburgh, PA 15213","Pittsburgh","15213","40.44159","-79.95728","Asian Fusion, Sushi Bars, Poke","4.5","120","$","https://www.yelp.com/biz/mount-everest-sushi-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"B52 Cafe","5202 Butler St,Pittsburgh, PA 15201","Pittsburgh","15201","40.4804344177246","-79.9541091918945","Coffee & Tea, Vegan, Middle Eastern","4.5","146","$$","https://www.yelp.com/biz/b52-cafe-pittsburgh-4?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Cafe Du Jour","1107 E Carson St,Pittsburgh, PA 15203","Pittsburgh","15203","40.42893","-79.98715","French","4.5","152","$$","https://www.yelp.com/biz/cafe-du-jour-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Spoon","134 S Highland Ave,Pittsburgh, PA 15206","Pittsburgh","15206","40.4600439842704","-79.9252199797378","American (New)","4.0","293","$$$","https://www.yelp.com/biz/spoon-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Fiori's Pizzaria","103 Capital Ave,Pittsburgh, PA 15226","Pittsburgh","15226","40.405245","-80.018538","Pizza, Italian","4.5","263","$","https://www.yelp.com/biz/fioris-pizzaria-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
