Name,Rating,Review_Count,Price,Cuisine,Latitude,Longitude,Street,City,Zip
Oishii Bento,4.0,235,$,Japanese,40.4418999,-79.95714,119 Oakland Ave,Pittsburgh, PA 15213
Spak Brothers Pizza and More,4.0,228,$,Pizza,40.46516,-79.94253,5107 Penn Ave,Pittsburgh, PA 15224
Chicken Latino,4.0,164,$,Latin American,40.4516497733743,-79.983172416687,155 21st St,Pittsburgh, PA 15222
Thai Cuisine,4.0,217,$$,Thai,40.4625496053045,-79.9497600693115,4627 Liberty Ave,Pittsburgh, PA 15224
Delanie's Coffee,4.5,131,$,Coffee & Tea,40.42899,-79.98074,1737 E Carson St,Pittsburgh, PA 15203
Union Grill,4.0,318,$$,American (Traditional),40.44482,-79.94842,413 S Craig St,Pittsburgh, PA 15213
The Twisted Frenchman,4.5,110,$$$,French,40.4602131685326,-79.9251211918181,5925 Baum Blvd,Pittsburgh, PA 15206
Zeke's Coffee,4.5,86,$,Cafes,40.4615,-79.92399,6015 Penn Ave,Pittsburgh, PA 15206
Hidden Harbor,4.5,107,$$,Cocktail Bars,40.4376509,-79.9195142,1708 Shady Ave,Pittsburgh, PA 15217
Alihan's Mediterranean Cuisine,4.5,145,$$,Mediterranean,40.4439011586983,-80.0026876337296,124 6th St,Pittsburgh, PA 15222
Taiwanese Bistro Cafe 33,4.5,130,$$,Taiwanese,40.4376110828313,-79.9191114696594,1711 Shady Ave,Pittsburgh, PA 15217
Smoke BBQ Taqueria,3.5,345,$$,Barbeque,40.47004,-79.96113,4115 Butler St,Pittsburgh, PA 15201
Tram's Kitchen,4.0,281,$,Vietnamese,40.46525,-79.95596,4050 Penn Ave,Pittsburgh, PA 15224
Shiloh Grill,4.0,293,$$,Pubs,40.4308853149414,-80.006965637207,123 Shiloh St,Pittsburgh, PA 15211
Coca Cafe,3.5,432,$$,Breakfast & Brunch,40.46725,-79.96423,3811 Butler St,Pittsburgh, PA 15201
Tazza D'oro,4.5,143,$,Coffee & Tea,40.47488,-79.91885,1125 N Highland Ave,Pittsburgh, PA 15206
Butterjoint,4.0,161,$$,American (New),40.4499759734743,-79.9507371864515,214 N Craig St,Pittsburgh, PA 15213
Rose Tea Cafe,3.5,312,$$,Taiwanese,40.43791,-79.9201099,5874 Forbes Ave,Pittsburgh, PA 15217
Lidia's,3.5,408,$$,Italian,40.44812,-79.98976,1400 Smallman St,Pittsburgh, PA 15222
Grand Concourse,3.5,338,$$$,Seafood,40.433077,-80.003773,100 W Station Square Dr,Pittsburgh, PA 15219
The Enrico Biscotti,4.0,151,$$,Bakeries,40.45131,-79.98323,2022 Penn Ave,Pittsburgh, PA 15222
